"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7588","Search for ""mercedes""","chrome","Wed Nov 26 17:19:02 IST 2025","passed","Wed Nov 26 17:19:09 IST 2025","","pom_search_fun.spec.js","",""
"","7772","Search for ""mercedes""","chrome","Wed Nov 26 17:19:38 IST 2025","passed","Wed Nov 26 17:19:46 IST 2025","","search_fun.spec.js","",""
"","13051","Car purchased","chrome","Wed Nov 26 17:19:09 IST 2025","passed","Wed Nov 26 17:19:22 IST 2025","","purchase_car.spec.js","",""
"","18135","Car purchased","chrome","Wed Nov 26 17:18:28 IST 2025","passed","Wed Nov 26 17:18:46 IST 2025","","pom_purchase_car.spec.js","",""
"","8256","Car details flow with add to cart","chrome","Wed Nov 26 17:16:20 IST 2025","passed","Wed Nov 26 17:16:28 IST 2025","LOGIN API","api_add_car.spec.js","",""
"","13510","Car purchased","chrome","Wed Nov 26 17:17:04 IST 2025","passed","Wed Nov 26 17:17:17 IST 2025","Car details Test with add to cart (API object)","api_purchase_car.spec.js","",""
"","7906","Search for ""mahindra""","chrome","Wed Nov 26 17:19:22 IST 2025","passed","Wed Nov 26 17:19:30 IST 2025","","search_fun.spec.js","",""
"","12457","Search functionality","chrome","Wed Nov 26 17:17:17 IST 2025","passed","Wed Nov 26 17:17:30 IST 2025","LOGIN API","api_search_fun2.spec.js","",""
"","3845","Empty cart landing page should show .mb-1 and .mb-0","chrome","Wed Nov 26 17:17:33 IST 2025","passed","Wed Nov 26 17:17:37 IST 2025","Authenticated flow via API","apitest.spec.js","",""
"","10009","Login flow validation on carwale demo site","chrome","Wed Nov 26 17:18:06 IST 2025","passed","Wed Nov 26 17:18:16 IST 2025","","pom_login.spec.js","",""
"","9862","Login flow validation on carwale demo site","chrome","Wed Nov 26 17:17:47 IST 2025","passed","Wed Nov 26 17:17:57 IST 2025","","login.spec.js","",""
"","9095","Login flow validation on carwale demo site","chrome","Wed Nov 26 17:16:55 IST 2025","passed","Wed Nov 26 17:17:04 IST 2025","LOGIN API","api_login.spec.js","",""
"","9962","Login flow validation for multiple sessions in same browser","chrome","Wed Nov 26 17:17:37 IST 2025","passed","Wed Nov 26 17:17:47 IST 2025","","json_login.spec.js","",""
"","7807","Search for ""honda""","chrome","Wed Nov 26 17:19:30 IST 2025","passed","Wed Nov 26 17:19:38 IST 2025","","search_fun.spec.js","",""
"","2822","Logout button should be visible after login","chrome","Wed Nov 26 17:17:30 IST 2025","passed","Wed Nov 26 17:17:33 IST 2025","Authenticated flow via API","apitest.spec.js","",""
"","9270","Login -> Dashboard -> Orders (mock) and capture token","chrome","Wed Nov 26 17:17:57 IST 2025","passed","Wed Nov 26 17:18:06 IST 2025","Orders Mock Test","networkfake2.spec.js","",""
"","7785","Search for ""mahindra""","chrome","Wed Nov 26 17:18:46 IST 2025","passed","Wed Nov 26 17:18:54 IST 2025","","pom_search_fun.spec.js","",""
"","19783","Filter functionality","chrome","Wed Nov 26 17:16:35 IST 2025","passed","Wed Nov 26 17:16:55 IST 2025","LOGIN API","api_filter.spec.js","",""
"","6132","Empty cart landing page elements","chrome","Wed Nov 26 17:16:29 IST 2025","passed","Wed Nov 26 17:16:35 IST 2025","Empty Cart Landing Page","api_empty_cart.spec.js","",""
"","12150","Login -> Dashboard -> Orders (mock) and capture token","chrome","Wed Nov 26 17:18:16 IST 2025","passed","Wed Nov 26 17:18:28 IST 2025","Orders Mock Test with POM","pom_networkfake.spec.js","",""
"","7586","Search for ""honda""","chrome","Wed Nov 26 17:18:54 IST 2025","passed","Wed Nov 26 17:19:02 IST 2025","","pom_search_fun.spec.js","",""
